customerID,tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,churn_flag
6467-CHFZW,47,99.35,4749.15,Month-to-month,"Electronic check",1
8665-UTDHZ,1,30.2,30.20,Month-to-month,"Electronic check",1
5248-YGIJN,72,90.25,6369.45,"Two year","Credit card (automatic)",0
8773-HHUOZ,17,64.7,1093.10,Month-to-month,"Mailed check",1
3841-NFECX,71,96.35,6766.95,"Two year","Credit card (automatic)",0
4929-XIHVW,2,95.5,181.65,Month-to-month,"Credit card (automatic)",0
6827-IEAUQ,27,66.15,1874.45,"One year","Mailed check",0
7310-EGVHZ,1,20.2,20.20,Month-to-month,"Bank transfer (automatic)",0
3413-BMNZE,1,45.25,45.25,Month-to-month,"Bank transfer (automatic)",0
6234-RAAPL,72,99.9,7251.70,"Two year","Bank transfer (automatic)",0
6047-YHPVI,5,69.7,316.90,Month-to-month,"Electronic check",1
6572-ADKRS,46,74.8,3548.30,Month-to-month,"Credit card (automatic)",0
5380-WJKOV,34,106.35,3549.25,Month-to-month,"Electronic check",1
8168-UQWWF,11,97.85,1105.40,Month-to-month,"Bank transfer (automatic)",1
8865-TNMNX,10,49.55,475.70,"One year","Mailed check",0
9489-DEDVP,70,69.2,4872.35,"Two year","Credit card (automatic)",0
9867-JCZSP,17,20.75,418.25,"One year","Mailed check",0
4671-VJLCL,63,79.85,4861.45,"Two year","Credit card (automatic)",0
4080-IIARD,13,76.2,981.45,Month-to-month,"Electronic check",0
3714-NTNFO,49,84.5,3906.70,Month-to-month,"Electronic check",0
5948-UJZLF,2,49.25,97.00,Month-to-month,"Mailed check",0
7760-OYPDY,2,80.65,144.15,Month-to-month,"Electronic check",1
7639-LIAYI,52,79.75,4217.80,"Two year","Credit card (automatic)",0
2954-PIBKO,69,64.15,4254.10,"Two year","Credit card (automatic)",0
8012-SOUDQ,43,90.25,3838.75,Month-to-month,"Electronic check",0
9420-LOJKX,15,99.1,1426.40,Month-to-month,"Credit card (automatic)",1
6575-SUVOI,25,69.5,1752.65,Month-to-month,"Credit card (automatic)",0
7495-OOKFY,8,80.65,633.30,Month-to-month,"Credit card (automatic)",1
4667-QONEA,60,74.85,4456.35,"One year","Credit card (automatic)",0
1658-BYGOY,18,95.45,1752.55,Month-to-month,"Electronic check",1
8769-KKTPH,63,99.65,6311.20,"One year","Credit card (automatic)",0
5067-XJQFU,66,108.45,7076.35,"One year","Electronic check",0
3957-SQXML,34,24.95,894.30,"Two year","Credit card (automatic)",0
5954-BDFSG,72,107.5,7853.70,"Two year","Credit card (automatic)",0
0434-CSFON,47,100.5,4707.10,Month-to-month,"Electronic check",0
1215-FIGMP,60,89.9,5450.70,Month-to-month,"Bank transfer (automatic)",0
0526-SXDJP,72,42.1,2962.00,"Two year","Bank transfer (automatic)",0
0557-ASKVU,18,54.4,957.10,"One year","Credit card (automatic)",0
5698-BQJOH,9,94.4,857.25,Month-to-month,"Electronic check",1
5122-CYFXA,3,75.3,244.10,Month-to-month,"Electronic check",0
8627-ZYGSZ,47,78.9,3650.35,"One year","Electronic check",0
3410-YOQBQ,31,79.2,2497.20,"Two year","Mailed check",0
3170-NMYVV,50,20.15,930.90,"Two year","Bank transfer (automatic)",0
7410-OIEDU,10,79.85,887.35,Month-to-month,"Mailed check",0
2273-QCKXA,1,49.05,49.05,Month-to-month,"Mailed check",0
0731-EBJQB,52,20.4,1090.65,"One year","Electronic check",0
1891-QRQSA,64,111.6,7099.00,"Two year","Bank transfer (automatic)",0
8028-PNXHQ,62,24.25,1424.60,"Two year","Bank transfer (automatic)",0
5630-AHZIL,3,64.5,177.40,Month-to-month,"Bank transfer (automatic)",0
2673-CXQEU,56,110.5,6139.50,"One year","Electronic check",0
6416-JNVRK,46,55.65,2688.85,"One year","Credit card (automatic)",0
5590-ZSKRV,8,54.65,482.25,Month-to-month,"Mailed check",0
0191-ZHSKZ,30,74.75,2111.30,Month-to-month,"Electronic check",0
3887-PBQAO,45,25.9,1216.60,"One year","Credit card (automatic)",0
5919-TMRGD,1,79.35,79.35,Month-to-month,"Electronic check",1
8108-UXRQN,11,50.55,565.35,Month-to-month,"Electronic check",0
9191-MYQKX,7,75.15,496.90,Month-to-month,"Bank transfer (automatic)",1
9919-YLNNG,42,103.8,4327.50,Month-to-month,"Bank transfer (automatic)",0
0318-ZOPWS,49,20.15,973.35,"Two year","Bank transfer (automatic)",0
4445-ZJNMU,9,99.3,918.75,Month-to-month,"Credit card (automatic)",0
4808-YNLEU,35,62.15,2215.45,"One year","Bank transfer (automatic)",0
1862-QRWPE,48,20.65,1057.00,"Two year","Bank transfer (automatic)",0
2796-NNUFI,46,19.95,927.10,"Two year","Mailed check",0
3016-KSVCP,29,33.75,1009.25,Month-to-month,"Mailed check",0
4767-HZZHQ,30,82.05,2570.20,Month-to-month,"Bank transfer (automatic)",0
2424-WVHPL,1,74.7,74.70,Month-to-month,"Electronic check",0
7233-PAHHL,66,84,5714.25,"Two year","Mailed check",0
6067-NGCEU,65,111.05,7107.00,Month-to-month,"Credit card (automatic)",0
9848-JQJTX,72,100.9,7459.05,"Two year","Bank transfer (automatic)",0
8637-XJIVR,12,78.95,927.35,Month-to-month,"Electronic check",1
9803-FTJCG,71,66.85,4748.70,"One year","Credit card (automatic)",0
0278-YXOOG,5,21.05,113.85,Month-to-month,"Mailed check",1
3212-KXOCR,52,21,1107.20,"Two year","Bank transfer (automatic)",0
4598-XLKNJ,25,98.5,2514.50,Month-to-month,"Electronic check",1
6380-ARCEH,1,20.2,20.20,Month-to-month,"Mailed check",0
3679-XASPY,1,19.45,19.45,Month-to-month,"Electronic check",0
7123-WQUHX,38,95,3605.60,"One year","Bank transfer (automatic)",0
5386-THSLQ,66,45.55,3027.25,"One year","Bank transfer (automatic)",0
3192-NQECA,68,110,7611.85,"Two year","Bank transfer (automatic)",1
6180-YBIQI,5,24.3,100.20,Month-to-month,"Mailed check",0
6728-DKUCO,72,104.15,7303.05,"One year","Electronic check",0
9750-BOOHV,32,30.15,927.65,"One year","Mailed check",0
8597-CWYHH,43,94.35,3921.30,"One year","Mailed check",0
2848-YXSMW,72,19.4,1363.25,"Two year","Credit card (automatic)",0
0486-HECZI,55,96.75,5238.90,Month-to-month,"Electronic check",1
4549-ZDQYY,52,57.95,3042.25,"One year","Credit card (automatic)",0
5712-AHQNN,43,91.65,3954.10,Month-to-month,"Electronic check",0
4846-WHAFZ,37,76.5,2868.15,Month-to-month,"Electronic check",1
5256-SKJGO,64,54.6,3423.50,"Two year","Electronic check",0
3071-VBYPO,3,89.85,248.40,Month-to-month,"Electronic check",0
9560-BBZXK,36,31.05,1126.35,"Two year","Bank transfer (automatic)",0
5299-RULOA,10,100.25,1064.65,Month-to-month,"Electronic check",1
8402-OOOHJ,41,20.65,835.15,"Two year","Mailed check",0
9445-ZUEQE,27,85.2,2151.60,Month-to-month,"Credit card (automatic)",0
1091-SOZGA,56,99.8,5515.45,"One year","Credit card (automatic)",0
2928-HLDBA,6,20.7,112.75,Month-to-month,"Mailed check",0
0404-SWRVG,3,74.4,229.55,Month-to-month,"Electronic check",1
6497-TILVL,7,50.7,350.35,Month-to-month,"Mailed check",0
7219-TLZHO,4,20.85,62.90,Month-to-month,"Mailed check",0
4622-YNKIJ,33,88.95,3027.65,"Two year","Electronic check",0
4412-YLTKF,27,78.05,2135.50,Month-to-month,"Electronic check",1
6734-PSBAW,72,23.55,1723.95,"Two year","Bank transfer (automatic)",0
3930-ZGWVE,1,19.75,19.75,Month-to-month,"Mailed check",0
2639-UGMAZ,71,56.45,3985.35,"One year","Electronic check",0
2876-GZYZC,13,85.95,1215.65,Month-to-month,"Electronic check",0
6207-WIOLX,25,58.6,1502.65,Month-to-month,"Credit card (automatic)",1
8587-XYZSF,67,50.55,3260.10,"Two year","Bank transfer (automatic)",0
3091-FYHKI,1,35.45,35.45,Month-to-month,"Electronic check",1
2372-HWUHI,2,44.35,81.25,Month-to-month,"Electronic check",1
7799-LGRDP,43,25.7,1188.20,"Two year","Credit card (automatic)",0
7850-VWJUU,23,75,1778.50,Month-to-month,"Bank transfer (automatic)",0
3774-VBNXY,64,20.2,1277.75,"Two year","Mailed check",0
6217-KDYWC,57,19.6,1170.55,"Two year","Mailed check",0
0390-DCFDQ,1,70.45,70.45,Month-to-month,"Mailed check",1
3146-MSEGF,72,88.05,6425.65,"Two year","Credit card (automatic)",0
4080-OGPJL,8,71.15,563.65,Month-to-month,"Electronic check",1
1095-WGNGG,61,101.05,5971.25,"Two year","Bank transfer (automatic)",0
2636-SJDOU,64,84.3,5289.05,"One year","Credit card (automatic)",0
1131-QQZEB,71,23.95,1756.20,"Two year","Bank transfer (automatic)",0
5716-EZXZN,65,99.05,6416.70,"Two year","Credit card (automatic)",0
6837-BJYDQ,3,19.6,61.35,"One year","Mailed check",0
2135-RXIHG,1,45.65,45.65,Month-to-month,"Electronic check",1
6440-DKQGE,30,64.5,1929.95,"One year","Credit card (automatic)",0
3466-BYAVD,15,69.5,1071.40,Month-to-month,"Mailed check",0
3780-YVMFA,8,68.55,564.35,Month-to-month,"Electronic check",0
3874-EQOEP,7,95,655.50,Month-to-month,"Mailed check",1
1679-JRFBR,70,108.15,7930.55,"One year","Credit card (automatic)",0
9073-ZZIAY,62,86.1,5215.25,"Two year","Electronic check",0
3077-RSNTJ,6,19.7,113.50,Month-to-month,"Mailed check",0
6551-GNYDG,14,80.9,1152.80,Month-to-month,"Bank transfer (automatic)",0
9167-APMXZ,22,84.15,1821.95,Month-to-month,"Bank transfer (automatic)",0
2749-CTKAJ,22,20.15,419.90,"One year","Mailed check",0
6371-NZYEG,16,64.25,1024.00,"Two year","Mailed check",0
7554-NEWDD,10,25.7,251.60,"Two year","Bank transfer (automatic)",0
8992-VONJD,13,56,764.55,Month-to-month,"Electronic check",0
0867-MKZVY,20,82.4,1592.35,Month-to-month,"Electronic check",1
4482-EWFMI,2,69.7,135.20,Month-to-month,"Electronic check",0
4648-YPBTM,53,73.9,3958.25,"Two year","Bank transfer (automatic)",0
2907-ILJBN,11,20.6,233.90,"One year","Mailed check",0
6345-FZOQH,69,19.9,1363.45,"Two year","Mailed check",0
3376-BMGFE,4,70.9,273.00,Month-to-month,"Bank transfer (automatic)",1
5997-OPVFA,72,89.05,6254.45,"Two year","Bank transfer (automatic)",0
3445-HXXGF,58,45.3,2651.20,Month-to-month,"Electronic check",1
1159-WFSGR,16,20.4,321.40,Month-to-month,"Electronic check",0
7654-YWJUF,43,84.25,3539.25,"One year","Bank transfer (automatic)",0
1875-QIVME,2,104.4,242.80,Month-to-month,"Electronic check",1
6727-IOTLZ,14,81.95,1181.75,"Two year","Mailed check",0
0691-JVSYA,53,94.85,5000.20,"One year","Bank transfer (automatic)",1
5918-VUKWP,32,20.55,654.55,"One year","Bank transfer (automatic)",0
1744-JHKYS,34,24.7,780.20,Month-to-month,"Electronic check",0
2656-FMOKZ,15,74.45,1145.70,Month-to-month,"Mailed check",1
2070-FNEXE,7,76.45,503.60,Month-to-month,"Bank transfer (automatic)",1
5947-SGKCL,15,105.35,1559.25,Month-to-month,"Bank transfer (automatic)",0
3712-PKXZA,61,20.55,1252.00,"One year","Credit card (automatic)",0
6317-YPKDH,1,29.95,29.95,Month-to-month,"Bank transfer (automatic)",1
6582-OIVSP,1,45.3,45.30,Month-to-month,"Mailed check",0
9367-WXLCH,8,84.5,662.65,Month-to-month,"Bank transfer (automatic)",1
5524-KHNJP,33,74.75,2453.30,"One year","Credit card (automatic)",0
1918-ZBFQJ,13,79.25,1111.65,Month-to-month,"Electronic check",1
1024-GUALD,1,24.8,24.80,Month-to-month,"Electronic check",1
4827-USJHP,20,51.8,1023.85,Month-to-month,"Mailed check",0
8167-GJLRN,3,30.4,82.15,Month-to-month,"Electronic check",0
0956-SYCWG,13,19.65,244.80,"One year","Electronic check",0
8017-UVSZU,40,56.6,2379.10,Month-to-month,"Credit card (automatic)",0
7100-FQPRV,43,71.9,3173.35,"One year","Credit card (automatic)",0
2472-OVKUP,6,91,531.00,Month-to-month,"Electronic check",1
2984-RGEYA,69,19.75,1375.40,"Two year","Bank transfer (automatic)",0
9680-NIAUV,72,109.7,8129.30,"Two year","Credit card (automatic)",0
2146-EGVDT,59,19.3,1192.70,"Two year","Credit card (automatic)",0
2604-IJPDU,20,96.55,1901.65,Month-to-month,"Electronic check",0
9178-JHUVJ,24,24.1,587.40,"Two year","Bank transfer (automatic)",0
6168-YBYNP,59,111.35,6519.75,Month-to-month,"Electronic check",0
7255-SSFBC,72,112.25,8041.65,"Two year","Bank transfer (automatic)",0
3645-DEYGF,1,20.75,20.75,Month-to-month,"Mailed check",0
9323-HGFWY,27,101.9,2681.15,"One year","Credit card (automatic)",0
8544-GOQSH,14,80.05,1112.30,Month-to-month,"Credit card (automatic)",0
3363-DTIVD,71,105.55,7405.50,"Two year","Electronic check",0
7018-WBJNK,13,78.3,1033.95,Month-to-month,"Credit card (automatic)",0
9142-KZXOP,44,68.85,2958.95,Month-to-month,"Credit card (automatic)",0
7674-YTAFD,33,79.95,2684.85,"One year","Bank transfer (automatic)",0
6348-SNFUS,72,55.45,4179.20,"Two year","Credit card (automatic)",0
1285-OKIPP,1,79.9,79.90,Month-to-month,"Electronic check",1
7825-ECJRF,19,106.6,1934.45,Month-to-month,"Electronic check",1
1347-KTTTA,64,102.45,6654.10,"One year","Credit card (automatic)",0
7841-TZDMQ,2,46,84.50,Month-to-month,"Credit card (automatic)",1
4195-NZGTA,1,25.25,25.25,Month-to-month,"Electronic check",0
7157-SMCFK,61,19.75,1124.20,"Two year","Mailed check",0
4709-LKHYG,29,20,540.05,"One year","Electronic check",0
2504-DSHIH,23,86.8,1975.85,Month-to-month,"Electronic check",0
0699-NDKJM,57,58.75,3437.45,Month-to-month,"Bank transfer (automatic)",0
9286-BHDQG,72,45.25,3139.80,"Two year","Credit card (automatic)",0
0230-WEQUW,66,56.6,3789.20,"Two year","Bank transfer (automatic)",0
2040-LDIWQ,65,84.2,5324.50,"Two year","Bank transfer (automatic)",0
6496-JDSSB,8,80,624.60,Month-to-month,"Bank transfer (automatic)",0
9408-SSNVZ,4,70.15,268.35,Month-to-month,"Electronic check",1
4443-EMBNA,71,24.75,1836.90,"Two year","Bank transfer (automatic)",0
6469-MRVET,1,20.2,20.20,"One year","Electronic check",0
0742-MOABM,4,50.05,179.35,Month-to-month,"Mailed check",1
5961-VUSRV,12,19.35,219.35,"One year","Bank transfer (automatic)",0
6778-JFCMK,24,50.6,1288.75,"One year","Mailed check",0
6341-JVQGF,31,81.15,2545.75,"One year","Mailed check",0
2232-DMLXU,1,55.2,55.20,Month-to-month,"Mailed check",1
4811-JBUVU,30,89.9,2723.15,Month-to-month,"Credit card (automatic)",0
0945-TSONX,47,85.3,4107.25,"Two year","Credit card (automatic)",0
2651-ZCBXV,54,108,5760.65,"Two year","Credit card (automatic)",0
3316-UWXUY,50,93.5,4747.50,Month-to-month,"Credit card (automatic)",0
8937-RDTHP,1,84.6,84.60,Month-to-month,"Mailed check",1
7083-MIOPC,72,20.25,1566.90,"Two year","Credit card (automatic)",0
1984-GPTEH,29,25.15,702.00,Month-to-month,"Electronic check",0
1251-KRREG,2,54.4,114.10,Month-to-month,"Mailed check",1
0621-JFHOL,10,29.6,299.05,"Two year","Mailed check",0
9903-LYSAB,18,73.15,1305.95,Month-to-month,"Electronic check",0
0094-OIFMO,11,95,1120.30,Month-to-month,"Electronic check",1
9227-UAQFT,16,19.75,284.35,"Two year","Mailed check",0
7301-ABVAD,72,86.6,6350.50,"Two year","Bank transfer (automatic)",0
6614-FHDBO,72,109.2,7878.30,"Two year","Bank transfer (automatic)",0
7576-ASEJU,41,74.7,3187.65,"One year","Credit card (automatic)",0
9058-HRZSV,65,94.4,6126.15,Month-to-month,"Electronic check",0
4522-AKYLR,13,54.8,731.30,Month-to-month,"Electronic check",0
0221-WMXNQ,4,75.35,273.40,Month-to-month,"Electronic check",0
0303-UNCIP,41,65,2531.80,"One year","Mailed check",0
9947-OTFQU,15,74.4,1074.30,Month-to-month,"Electronic check",1
0322-YINQP,1,48.55,48.55,Month-to-month,"Mailed check",1
0959-WHOKV,42,99,4298.45,"One year","Electronic check",0
4075-JFPGR,51,93.5,4619.55,"One year","Electronic check",0
4629-NRXKX,2,70.4,147.15,Month-to-month,"Electronic check",1
9514-JDSKI,1,40.2,40.20,Month-to-month,"Electronic check",1
3282-ZISZV,32,83.7,2633.30,"One year","Credit card (automatic)",0
3675-YDUPJ,10,19.85,193.05,Month-to-month,"Mailed check",0
4111-BNXIF,67,59.55,4103.90,"Two year","Electronic check",0
7017-VFHAY,61,115.1,7008.15,"Two year","Credit card (automatic)",0
6655-LHBYW,50,114.35,5791.10,"One year","Credit card (automatic)",0
4959-JOSRX,2,44.6,80.55,Month-to-month,"Credit card (automatic)",1
5046-NUHWD,29,45,1228.65,Month-to-month,"Electronic check",0
7273-TEFQD,3,41.15,132.20,Month-to-month,"Electronic check",1
3606-TWKGI,13,106.9,1364.30,Month-to-month,"Electronic check",1
7529-ZDFXI,57,89.85,4925.35,Month-to-month,"Electronic check",0
7605-BDWDC,31,49.85,1520.10,"Two year","Bank transfer (automatic)",0
1950-KSVVJ,45,113.3,5032.25,"One year","Mailed check",0
0123-CRBRT,61,88.1,5526.75,"Two year","Mailed check",0
6292-TOSSS,50,24.9,1195.25,"Two year","Bank transfer (automatic)",0
3197-ARFOY,19,105,2007.25,Month-to-month,"Mailed check",0
6323-AYBRX,59,19.35,1099.60,"Two year","Mailed check",1
7014-ZZXAW,71,24.25,1732.95,"Two year","Credit card (automatic)",0
4385-GZQXV,16,94.45,1511.20,Month-to-month,"Electronic check",1
7633-MVPUY,57,59.75,3450.15,"Two year","Electronic check",0
6366-ZGQGL,1,24.8,24.80,Month-to-month,"Bank transfer (automatic)",1
4716-HHKQH,20,107.05,2172.05,Month-to-month,"Electronic check",0
5940-AHUHD,1,70.6,70.60,Month-to-month,"Mailed check",1
6432-TWQLB,5,85.4,401.10,Month-to-month,"Electronic check",1
4484-GLZOU,52,105.05,5624.85,Month-to-month,"Electronic check",1
3179-GBRWV,21,64.95,1339.80,Month-to-month,"Bank transfer (automatic)",0
8645-KWHJO,14,55,771.95,Month-to-month,"Electronic check",0
4130-MZLCC,5,50.55,244.75,Month-to-month,"Bank transfer (automatic)",0
0314-TKOSI,6,55.15,322.90,Month-to-month,"Mailed check",0
8229-MYEJZ,10,51.2,498.25,Month-to-month,"Electronic check",0
2080-SRCDE,1,25.4,25.40,Month-to-month,"Mailed check",0
9577-WJVCQ,68,54.45,3687.75,Month-to-month,"Mailed check",0
9512-UIBFX,18,95.15,1779.95,Month-to-month,"Mailed check",1
6202-DYYFX,22,76,1783.60,"One year","Credit card (automatic)",0
3808-HFKDE,20,44.35,927.15,Month-to-month,"Electronic check",0
5583-SXDAG,1,70,70.00,Month-to-month,"Electronic check",1
3488-PGMQJ,8,74.5,606.55,Month-to-month,"Electronic check",1
3580-REOAC,10,44.85,435.40,Month-to-month,"Credit card (automatic)",1
7534-BFESC,24,76.1,1712.70,Month-to-month,"Electronic check",1
3727-OWVYD,35,61.2,2021.20,"One year","Mailed check",0
2294-SALNE,23,86.8,1940.80,"One year","Mailed check",0
4847-TAJYI,6,89.35,567.80,Month-to-month,"Electronic check",0
1563-IWQEX,12,19.7,220.35,Month-to-month,"Mailed check",0
8203-XJZRC,1,20.25,20.25,Month-to-month,"Mailed check",0
6556-DBKZF,71,76.05,5436.45,"Two year","Electronic check",0
6851-WEFYX,35,100.8,3437.50,Month-to-month,"Electronic check",0
2985-JUUBZ,40,74.55,3015.75,Month-to-month,"Electronic check",0
6390-DSAZX,1,73.6,73.60,Month-to-month,"Mailed check",1
0895-LMRSF,23,64.9,1509.80,"One year","Bank transfer (automatic)",0
8098-LLAZX,4,95.45,396.10,Month-to-month,"Electronic check",1
8266-VBFQL,4,90.4,356.65,Month-to-month,"Electronic check",0
8181-YHCMF,68,60.3,4109.00,"Two year","Credit card (automatic)",0
2240-HSJQD,38,81.85,3141.70,Month-to-month,"Mailed check",0
1248-DYXUB,52,24.8,1229.10,"Two year","Mailed check",0
0265-EDXBD,32,74.9,2303.35,Month-to-month,"Electronic check",1
4115-BNPJY,29,75.55,2054.40,"Two year","Mailed check",0
3167-SNQPL,38,101.15,3741.85,Month-to-month,"Electronic check",0
4091-TVOCN,48,78.75,3682.45,"One year","Credit card (automatic)",0
1098-TDVUQ,1,19.25,19.25,Month-to-month,"Bank transfer (automatic)",0
7277-OZCGZ,22,89.05,1886.25,Month-to-month,"Electronic check",0
1557-EMYVT,43,115.05,4895.10,"Two year","Credit card (automatic)",0
2799-ARNLO,5,69.35,341.60,Month-to-month,"Electronic check",0
7563-BIUPC,5,80.6,415.55,Month-to-month,"Electronic check",1
5027-YOCXN,51,110.05,5686.40,"One year","Credit card (automatic)",0
3973-SKMLN,71,19.9,1355.10,"Two year","Credit card (automatic)",0
2321-OMBXY,38,80.3,3058.65,"One year","Credit card (automatic)",1
2840-XANRC,24,93.15,2231.05,Month-to-month,"Electronic check",1
6745-JEFZB,35,91.5,3236.35,Month-to-month,"Credit card (automatic)",0
5020-ZSTTY,54,82.45,4350.10,"One year","Bank transfer (automatic)",1
9880-TDQAC,72,60,4264.00,"Two year","Electronic check",0
8705-WZCYL,1,44.8,44.80,Month-to-month,"Electronic check",0
7102-JJVTX,9,48.6,422.30,"One year","Mailed check",0
8626-PTQGE,69,60.05,4176.70,"Two year","Bank transfer (automatic)",0
4983-CLMLV,52,102.7,5138.10,Month-to-month,"Credit card (automatic)",0
5701-YVSVF,11,82.9,880.05,Month-to-month,"Electronic check",0
5804-LEPIM,2,70.35,139.05,Month-to-month,"Electronic check",1
5697-GOMBF,28,35.9,973.65,Month-to-month,"Electronic check",0
2739-CACDQ,17,82.65,1470.05,Month-to-month,"Credit card (automatic)",0
9385-EHGDO,35,19.85,739.35,"Two year","Mailed check",0
9498-FIMXL,8,19.2,161.95,"One year","Mailed check",0
2379-GYFLQ,46,94.9,4422.95,"One year","Credit card (automatic)",0
0122-OAHPZ,7,73.85,511.25,Month-to-month,"Electronic check",1
2868-SNELZ,2,80.6,155.80,Month-to-month,"Mailed check",1
4322-RCYMT,68,75.8,5293.95,"One year","Bank transfer (automatic)",1
6680-NENYN,43,104.6,4759.85,"Two year","Electronic check",1
2088-IEBAU,68,88.15,6148.45,"Two year","Electronic check",0
7982-VCELR,36,94.8,3565.65,Month-to-month,"Credit card (automatic)",0
1343-EHPYB,63,103.4,6603.00,Month-to-month,"Electronic check",1
6035-BXTTY,32,54.65,1830.10,Month-to-month,"Bank transfer (automatic)",0
6885-PKOAM,71,85.75,6223.80,"Two year","Credit card (automatic)",0
7520-HQWJU,66,67.45,4508.65,Month-to-month,"Bank transfer (automatic)",0
9639-BUJXT,63,20.5,1328.15,"One year","Mailed check",0
5924-SNGKP,41,20.25,865.00,"One year","Credit card (automatic)",0
0021-IKXGC,1,72.1,72.10,Month-to-month,"Electronic check",0
2034-GDRCN,2,90.4,168.20,Month-to-month,"Electronic check",1
8966-SNIZF,70,19.45,1303.50,"Two year","Bank transfer (automatic)",0
6243-OZGFH,23,44.95,996.85,Month-to-month,"Electronic check",0
4654-DLAMQ,64,97,6430.90,"One year","Bank transfer (automatic)",0
0513-RBGPE,37,62.8,2278.75,"Two year","Credit card (automatic)",0
5160-UXJED,17,44.6,681.40,"One year","Mailed check",0
4115-NZRKS,7,89.15,574.35,Month-to-month,"Electronic check",0
0219-YTZUE,4,84.8,371.90,Month-to-month,"Bank transfer (automatic)",1
0623-IIHUG,21,41.9,840.10,Month-to-month,"Electronic check",1
4572-DVCGN,10,80.25,846.00,Month-to-month,"Bank transfer (automatic)",1
3351-NGXYI,16,54.1,889.00,Month-to-month,"Electronic check",0
8984-EYLLL,64,105.25,6823.40,"Two year","Electronic check",0
9057-MSWCO,27,30.75,805.10,Month-to-month,"Credit card (automatic)",1
9833-TGFHX,42,97.1,4016.75,"One year","Electronic check",0
9294-TDIPC,5,20.2,83.75,Month-to-month,"Mailed check",0
5229-DTFYB,41,98.8,3959.15,"Two year","Bank transfer (automatic)",0
0104-PPXDV,58,50.3,2878.55,"One year","Credit card (automatic)",0
5176-LMJXE,47,20.55,945.70,"Two year","Mailed check",0
3583-KRKMD,18,75.9,1373.05,Month-to-month,"Bank transfer (automatic)",0
1010-DIAUQ,5,96.5,492.55,Month-to-month,"Bank transfer (automatic)",1
9069-LGEUL,23,59.95,1406.00,Month-to-month,"Bank transfer (automatic)",0
7302-ZHMHP,1,19.15,19.15,Month-to-month,"Mailed check",0
9571-EDEBV,71,98.65,6962.85,"One year","Credit card (automatic)",0
3520-FJGCV,72,112.6,8126.65,"Two year","Credit card (automatic)",0
6563-VRERX,33,20.6,690.25,"One year","Mailed check",0
0259-GBZSH,2,85.65,181.50,Month-to-month,"Electronic check",1
6122-EFVKN,24,35.75,830.80,"Two year","Mailed check",0
2805-EDJPQ,56,99.75,5608.40,"One year","Credit card (automatic)",0
6862-CQUMB,37,96.1,3646.80,Month-to-month,"Credit card (automatic)",0
7156-MXBJE,43,85.1,3662.25,"One year","Credit card (automatic)",0
6158-HDPXZ,1,25.35,25.35,Month-to-month,"Mailed check",0
9601-BRXPO,25,104.95,2566.50,Month-to-month,"Bank transfer (automatic)",1
2863-IMQDR,61,89.65,5308.70,"Two year","Electronic check",0
5686-CMAWK,17,86.75,1410.25,"One year","Electronic check",0
5651-CRHKQ,41,86.2,3339.05,"One year","Bank transfer (automatic)",0
6905-NIQIN,1,50.65,50.65,Month-to-month,"Mailed check",1
8204-YJCLA,72,64.8,4732.35,"Two year","Bank transfer (automatic)",0
5167-ZFFMM,1,90.85,90.85,Month-to-month,"Credit card (automatic)",1
